Title,Review,Writer,Category,Update Date
청년수당 후기,청년수당이라는 좋은 정책을 통해서 힘들고 지쳤던 취업 생활에 조금이나마 위안을 느낄 수 있었습니다. 작은 것부터 큰 것까지 금전적인 면에서 부담을 덜 수 있었다는 것이 가장 큰 장점이었습니다. 취업에도 직접적으로 도움이 되었고 생활적인 부분에서도 도움을 받았습니다. 청년수당 덕분에 취업에도 성공한 것 같아 감사합니다.,박**,2024/1 청년수당,2024-06-27
2024년 서울 청년수당 후기,"안녕하세요 :)
2024년 서울 청년수당에 선정되어 지금은 취업을 하게 된 참여자입니다.

청년수당으로 월세도 내고, 생활비 부담도 줄어들어
한동안 마음의 짐을 내려놓고 취업 준비에 전념할 수 있었습니다.
그래서 생각보다 더 빠르게 취업에 성공했습니다 :)

앞으로도 이런 좋은 정책으로 취업에 어려움을 겪는 많은 사람들이
도움을 받았으면 좋겠습니다.",안**,2024/1 청년수당,2024-06-27
최혜경,선정되어서 너무 기쁩니다! 앞으로 이것저것 관람할 예정입니다,최**,2024/1 청년문화패스,2024-06-27
정말 큰 버팀목이 되어주고 있는 청년 수당,"청년수당은 불안과 우울만이 가득했던 취업 준비 기간을 자기 개발의 시간으로 탈바꿈해준 소중한 존재입니다.
구직활동이 길어지고 심리적으로도, 재정적으로도 어려움 겪기 시작하면서 불안감이 점점 심해지고 있었습니다. 특히 컨설팅, 자기소개서 첨삭 등 취업 준비에도 투자가 필요하다는 사실을 느끼며 불안감은 더욱 커졌습니다. 하지만 청년 수당 덕분에 취업에 필요한 교육에 투자할 수 있게되며 능률이 상승하는 것을 체감할 수 있었습니다. 또한 자격증 시험 응시비 등 기타 지출에 대한 걱정을 덜게 되며 매사에 주저없이 도전하게 되었습니다. 돈 때문에 고민하는 일이 크게 줄면서 이 시간을 다시 오지 않을 자기개발의 시간으로 여기게 되었다는 점이 청년 수당의 가장 큰 혜택이라고 생각합니다. 저를 포함한 모든 청년들이 청년 수당으로 원하는 바를 이루길 바랍니다.",이**,2024/1 청년수당,2024-06-27
청년수당 후기,"이직하는 동안 많은 도움이 되었습니다.
직장을 구하는 기간에 생활비 부담이 있는데, 청년수당을 통해 일부 이런 부담을 줄일 수 있었습니다.
공백기간이 길수록 생활비 부담때문에 조건이 좋지 않더라도 급하게 직장을 구하게 되고, 또 이직을 하게 되는 경우가 생기기도 하는데, 청년 수당 덕분에 좀 더 마음에 여유를 가지고 저에게 맞는 직장을 찾을 수 있었던 것 같습니다.
저의 경우엔 토익이나 기타 자격증 공부를 하지 않아도 되는 상황이라 이런 항목에 지출을 하진 않았지만,
수업을 수강해야하는 취업 준비생들에겐 더욱 좋은 정책이되었을 것 같습니다.
감사합니다.",문**,2024/1 청년수당,2024-06-27
청년수당 후기,갑작스러운 실업으로 생활에 곤란을 겪고 있던 와중에 청년수당을 받아 재취업까지 버틸 수 있었습니다.,한**,2024/1 청년수당,2024-06-27
청년수당 후기,덕분에 취업 활동을 원활하게 할 수 있어 취업할 수 있었습니다.,전**,2024/1 청년수당,2024-06-27
청년수당 참여 후기,"실업급여를 받지 못해서 구직 중에 생활비가 필요했는데, 청년수당 사업으로 도움 많이 받았습니다.
덕분에 기본 생활비랑 공부 등에 잘 사용했습니다.
앞으로 청년, 구직자들에게 도움 많이 될 수 있도록 사업 잘 유지되었으면 좋겠습니다.",이**,2024/1 청년수당,2024-06-27
청년수당,"청년수당은 청년들에게 취업 준비 과정에서 큰 힘이 되는 소중한 지원입니다. 다양한 도전과 시도를 할 수 있도록 기반을 마련해주는 사업이기에, 더 많은 청년들이 혜택을 받을 수 있기를 바랍니다. 이 덕분에 힘을 얻어 취업에 성공하게 되어 정말 기쁩니다. 청년수당의 지속적인 발전을 응원합니다.",채**,2024/1 청년수당,2024-06-27
청년수당 후기,안녕하세요 7월 15일에 인턴으로 입사하게 되어 자격상실을 신청하게 되었습니다. 청년수당덕분에 취업 준비를 하는 동안 경제적인 부담을 상당히 덜 수 있었습니다. 이러한 취준생들을 위한 정책에 참여할 수 있어 영광이었습니다. 감사합니다.,임**,2024/1 청년수당,2024-06-27
청년수당 후기,"취업 전 준비 기간 동안 자격증 공부에 필요한 교재 및 교육비와 생활비가 부족했습니다.

청년수당 지급으로 해당 부분을 충족할 수 있었고, 덕분에 원하던 직장에 취업할 수 있었습니다.

감사합니다.",김**,2024/1 청년수당,2024-06-27
큰 도움이 되는 청년수당,"청년수당이 큰 도움이 되고 있습니다.

제가 도전하는 시험은 시간 투자를 많이 해야하기 때문에
시험을 준비하는동안 일을 하지 못하는 상황에 놓이곤 합니다.

이러한 상황에서 학원 비용은 많이 나가 걱정이 많은데
청년수당 덕분에 학원비나 생활비에 많은 도움을 받고 있습니다.

주신 도움을 기억하며 꼭 시험에 합격하도록 하겠습니다.
감사합니다.",이**,2024/1 청년수당,2024-06-27
심리적 불안감을 덜게 해준 지원금에 대한 고마움,"공백기가 점점 길어져 몸도 마음도 지쳐있던 취업 준비생의 숨통을 트이게 해준 청년 수당 정책에 감사를 표합니다.
자기 소개서와 면접을 준비하며 생각보다 많은 비용 지출에 대한 고민이 심화될 당시 청년 수당 지원금에 대해 알게 되었습니다. 지원 대상이 되었다는 소식만으로도 심리적 불안감이 덜어져 취업 준비를 체계적으로 계획할 수 있었고, 생각보다 빠르게 면접 합격 소식을 듣게 되었습니다. 목표하는 기업은 아니었지만, 경력을 쌓을 수 있는 기회를 놓치지 않고 열심히 다녀볼 예정입니다.
청년들의 멋진 미래를 응원하는 청년 수당 정책이 오래 지속되었으면 하는 바람입니다. 감사합니다.",이**,2024/1 청년수당,2024-06-27
청년수당 후기,"청년수당을 받으며 취업준비에 집중할 수 있어 좋았습니다.
아르바이트 대신 청년 수당으로 자격증을 공부하고, 면접 준비를 하여 취업할 수 있었습니다.",장**,2024/1 청년수당,2024-06-26
청년수당 정책 후기,"취업 활동에 필요한 학원비, 생활비 등 서울특별시의 지원으로 인해 취업이라는 좋은 결과를 만들어 냈습니다, 감사합니다,",이**,2024/1 청년수당,2024-06-26
청년수당 선정 후기입니다.,"안녕하세요, 청년수당을 지급받은지 2개월이 되었습니다.
꿈과는 다른 직장을 다니면서 잊어버리던 미래였는데, 퇴사를 하고 나서 청년수당에 선정이 되고난 후 이루고 싶었던 꿈에 한 발짝 다가가 용기를 낼 수 있는 기회이지 않았나 싶습니다.
첫 달에는 학원을 다니고, 둘쨋 달에는 장비를 사서 인터넷 수강 신청을 하였습니다.
다음 달에는 제가 취업을 하게되어 청년수당을 지급받지는 못하지만, 이번의 두 달간의 발돋움이 저에게는 정말 큰 용기와 시간이었던 것 같아 정말 너무 흥분되고 앞으로가 더 즐거울 것 같아 설렙니다.
이런 좋은 정책과 시간을 만들어주셔서, 제게 선물해주셔서 정말 감사드립니다 :)
서울시 청년수당, 청년들 모두 파이팅!!!",강**,2024/1 청년수당,2024-06-26
청년수당 덕분에 취업에 전념할 수 있었습니다.,청년수당을 받으면서 아르바이트에 뺏기는 시간을 많이 줄였어요. 덕분에 취업에 전념하면서 공부도 하고 자소서나 면접에도 많은 시간을 투자할 수 있어서 취업할 수 있었습니다. 청년수당 없었으면 취업 걱정에 돈 걱정에 많이 힘들었을 것 같습니다. 이런 좋은 정책들은 앞으로도 많이 나왔으면 좋겠네요. 감사했습니다!,임**,2024/1 청년수당,2024-06-26
서울시 청년수당 선정 및 후기 작성,"안녕하십니까
2024년 1회차 서울시 청년수당 사업에 선정되어 약 3개월 동안 정책에 참여하였습니다.
서울시의 지원 아래, 현재는 희망했던 기업 중 하나인 JCET 스태츠칩팩코리아 라는 기업에 입사하였습니다.

청년수당을 바탕으로 면접 준비와 역량 강화에 집중적으로 투자할 수 있었고, 좋은 결실을 맺을 수 있었습니다.
앞으로도 더 많은 청년들에게 이런 좋은 기회가 될 수 있는 사업이 많아지기를 기대합니다.
감사합니다.",박**,2024/1 청년수당,2024-06-26
감사했습니다!,"막막했던 서울살이와 끝이 있을까 의문 가득했던 취업 준비가 이렇게 막을 내리네요.
모아둔 돈은 점점 줄어들고 면접 본 곳에선 연락이 없어 가끔은 초라하고 불안했던 시간들도 분명 있었지만!
청년수당 덕분에 조금 더 안정적으로 취업 준비에 매진할 수 있었습니다.

앞으로도 많은 청년들에게 힘이 되었으면 좋겠습니다. 감사합니다!",김**,2024/1 청년수당,2024-06-26
청소년 문화 패스,너무 편리 해요,안**,2024/1 청년문화패스,2024-06-26
청년수당 정책 후기,"청년수당 정책 덕분에 취업을 준비하는동안 다른 곳에 시간 뺏기지 않고 공부와 기타 준비 등에 전념할 수 있어서 빠르게 취업할 수 있었습니다.
더 많은, 좋은 기회가 다른 청년들에게 돌아가 이런 정책들이 선순환이 되어 함께 살아가는 사회가 되길 바랍니다. 정책을 만들어 준 서울시, 정말 고맙습니다!",주**,2024/1 청년수당,2024-06-26
청년수당 후기,"청년수당은 청년들에게 취업 전 많은 힘을 주는 사업임에 틀림없습니다. 여러가지 사업에 도전할 수 있도록 밑받침을 만들어주는 사업이기에 더 많은 청년들에게 혜택이 주어지면 좋겠습니다. 덕분에 힘을 얻고 취업할 수 있게 되어 너무 기쁩니다.
청년수당 화이팅입니다. 감사했습니다.",장*,2024/1 청년수당,2024-06-26
이런 정책 너무 좋습니다,덕분에 문화생활 즐겨요 감사합니다,신**,2024/1 청년문화패스,2024-06-26
청년수당에 대하여,식비랑 의복비를 해결할 수 있어서 좋았습니다. 아무래도 면접볼때 캐주얼한 옷을 사는데 비용이 들어 위축이 되기 마련인데 덕분에 마련하였습니다. 또한 화장품을 비롯한 생필품들을 살 수 있어서 좋았습니다. 이 50만원으로 인해 생필품 걱정을 안하고 먹고싶은것을 사먹고 교통비 걱정을 안하고 큰 보템이 되었습니다,남**,2024/1 청년수당,2024-06-25
청년수당 후기,"청년수당을 신청하고 3달 받은 후 취업에 성공하게 되었습니다. 3개월동안 취업을 준비하는데에 몰두할 수 있게끔
청년수당을 통해 학자금대출 납부와 관리비에 사용해 도움이 많이 되었습니다. 또한, 식비로도 사용하였고 취업준비를 위한 자기소개서 작성을 주로 까페에서 했기에 까페비로 활용하였습니다.
청년수당 받지 않았으면 취업에 쓰는 시간을 안정적으로 확보하지 못했을텐데 너무 도움되는 정책이라고 생각합니다.
앞으로도 이를 토대로 회사생활을 열심히하며 커리어 개발에 노력하고자 합니다
감사합니다.",이**,2024/1 청년수당,2024-06-25
청년수당,"청년수당으로 인해 기존에 배우지 못했던 것들을 배울 수 있고
평소 할 수 없었던것을 좀 더 할 수 있게 만들어주신것 같습니다.
그리고 무엇보다 지원으로 인해용기를 얻을 수 있어 청년 정보통, 청년수당에 감사합니다.",김**,2024/1 청년수당,2024-06-25
청년수당 참여 후기,"청년수당 정책에 참여함으로서 취업활동에 필요한 비용의 지원이 저에게 큰 도움이 되었습니다. 식비, 교통비, 통신비, 시험 응시료 비 등등 구직활동에 들어가는 비용이 생각보다 많았는데 청년수당 정책 덕분에 중소기업에 취업하는데 큰 도움이 되었던 것 같습니다. 앞으로 청년수당 정책이 계속 시행된다면 전 제 주위 사람들에게 적극 추천하고 싶습니다.",김**,2024/1 청년수당,2024-06-25
너무 좋아요,지원받기 시작하면서 여유가 생겨서 너무 감사합니다,김**,2023/1 대중교통비지원(카드사),2024-06-25
